"filename", "language", "C++", "Batch", "comment", "blank", "total"
"c:\Users\71fru\Documents\GitHub\ONEGKA\formater\format_file.cpp", "C++", 65, 0, 1, 25, 91
"c:\Users\71fru\Documents\GitHub\ONEGKA\formater\format_file.h", "C++", 9, 0, 0, 4, 13
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\TXLib.h", "C++", 7513, 0, 5629, 3258, 16400
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\argv_work.h", "C++", 13, 0, 0, 6, 19
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\comparator.h", "C++", 7, 0, 0, 3, 10
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\free.h", "C++", 6, 0, 0, 3, 9
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\printer.h", "C++", 6, 0, 0, 3, 9
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\read_file.h", "C++", 25, 0, 0, 8, 33
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\sort.h", "C++", 6, 0, 0, 3, 9
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\run.bat", "Batch", 0, 3, 0, 0, 3
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\argv_work.cpp", "C++", 24, 0, 0, 6, 30
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\comparator.cpp", "C++", 77, 0, 4, 27, 108
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\free.cpp", "C++", 11, 0, 0, 3, 14
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\main.cpp", "C++", 33, 0, 8, 14, 55
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\printer.cpp", "C++", 11, 0, 1, 5, 17
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\read_file.cpp", "C++", 65, 0, 6, 23, 94
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\sort.cpp", "C++", 44, 0, 0, 15, 59
"Total", "-", 7915, 3, 5649, 3406, 16973